Name,Display Name,Description,NRT Colors,NRT sizes,Parent,BREEZEMAX ACTIVE,On Hand,On Order,Store Description,Store Display Name,Image Name
AJFZ : AJFZ-Black-XXL,Adult Jacquard Full-Zip,,Black,XXL,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Black
AJFZ : AJFZ-For. Green--  S,Adult Jacquard Full-Zip,,Forest Green,Small,AJFZ,Yes,242,200,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Forest Green
AJFZ : AJFZ-For. Green-- M,Adult Jacquard Full-Zip,,Forest Green,Medium,AJFZ,Yes,409,300,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Forest Green
AJFZ : AJFZ-For. Green-L,Adult Jacquard Full-Zip,,Forest Green,Large,AJFZ,Yes,379,410,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Forest Green
AJFZ : AJFZ-For. Green-XL,Adult Jacquard Full-Zip,,Forest Green,XL,AJFZ,Yes,274,300,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Forest Green
AJFZ : AJFZ-For. Green-XXL,Adult Jacquard Full-Zip,,Forest Green,XXL,AJFZ,Yes,159,200,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Forest Green
AJFZ : AJFZ-Indigo--  S,Adult Jacquard Full-Zip,,Indigo Blue,Small,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Indigo Blue
AJFZ : AJFZ-Indigo-- M,Adult Jacquard Full-Zip,,Indigo Blue,Medium,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Indigo Blue
AJFZ : AJFZ-Indigo-L,Adult Jacquard Full-Zip,,Indigo Blue,Large,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Indigo Blue
AJFZ : AJFZ-Indigo-XL,Adult Jacquard Full-Zip,,Indigo Blue,XL,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Indigo Blue
AJFZ : AJFZ-Indigo-XXL,Adult Jacquard Full-Zip,,Indigo Blue,XXL,AJFZ,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Indigo Blue
AJFZ : AJFZ-S.Grey--  S,Adult Jacquard Full-Zip,,Sports Grey,Small,AJFZ,Yes,322,300,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Sports Grey
AJFZ : AJFZ-S.Grey-- M,Adult Jacquard Full-Zip,,Sports Grey,Medium,AJFZ,Yes,387,400,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Sports Grey
AJFZ : AJFZ-S.Grey-L,Adult Jacquard Full-Zip,,Sports Grey,Large,AJFZ,Yes,410,400,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Sports Grey
AJFZ : AJFZ-S.Grey-XL,Adult Jacquard Full-Zip,,Sports Grey,XL,AJFZ,Yes,413,200,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Sports Grey
AJFZ : AJFZ-S.Grey-XXL,Adult Jacquard Full-Zip,,Sports Grey,XXL,AJFZ,Yes,250,100,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Full Zip Sweater,AJFZ_Sports Grey
AJH : AJH-Black--  S,Adult Jacquard Hoodie,,Black,Small,AJH,Yes,176,300,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Black
AJH : AJH-Black-- M,Adult Jacquard Hoodie,,Black,Medium,AJH,Yes,280,400,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Black
AJH : AJH-Black-L,Adult Jacquard Hoodie,,Black,Large,AJH,Yes,248,423,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Black
AJH : AJH-Black-XL,Adult Jacquard Hoodie,,Black,XL,AJH,Yes,212,300,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Black
AJH : AJH-Black-XXL,Adult Jacquard Hoodie,,Black,XXL,AJH,Yes,174,100,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Black
AJH : AJH-For. Green--  S,Adult Jacquard Hoodie,,Forest Green,Small,AJH,Yes,292,100,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Forest Green
AJH : AJH-For. Green-- M,Adult Jacquard Hoodie,,Forest Green,Medium,AJH,Yes,359,200,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Forest Green
AJH : AJH-For. Green-L,Adult Jacquard Hoodie,,Forest Green,Large,AJH,Yes,349,200,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Forest Green
AJH : AJH-For. Green-XL,Adult Jacquard Hoodie,,Forest Green,XL,AJH,Yes,312,100,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Forest Green
AJH : AJH-For. Green-XXL,Adult Jacquard Hoodie,,Forest Green,XXL,AJH,Yes,171,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Forest Green
AJH : AJH-Indigo--  S,Adult Jacquard Hoodie,,Indigo Blue,Small,AJH,Yes,509,26,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Indigo Blue
AJH : AJH-Indigo-- M,Adult Jacquard Hoodie,,Indigo Blue,Medium,AJH,Yes,671,36,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Indigo Blue
AJH : AJH-Indigo-L,Adult Jacquard Hoodie,,Indigo Blue,Large,AJH,Yes,676,32,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Indigo Blue
AJH : AJH-Indigo-XL,Adult Jacquard Hoodie,,Indigo Blue,XL,AJH,Yes,622,5,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Indigo Blue
AJH : AJH-Indigo-XXL,Adult Jacquard Hoodie,,Indigo Blue,XXL,AJH,Yes,365,3,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Indigo Blue
AJH : AJH-S.Grey--  S,Adult Jacquard Hoodie,,Sports Grey,Small,AJH,Yes,182,338,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Sports Grey
AJH : AJH-S.Grey-- M,Adult Jacquard Hoodie,,Sports Grey,Medium,AJH,Yes,176,541,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Sports Grey
AJH : AJH-S.Grey-L,Adult Jacquard Hoodie,,Sports Grey,Large,AJH,Yes,239,565,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Sports Grey
AJH : AJH-S.Grey-XL,Adult Jacquard Hoodie,,Sports Grey,XL,AJH,Yes,227,400,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Sports Grey
AJH : AJH-S.Grey-XXL,Adult Jacquard Hoodie,,Sports Grey,XXL,AJH,Yes,214,100,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jacquard Hoodie,AJH_Sports Grey
AJP : AJP-Black--  EXS,Adult Jogger Pants,,Black, Extra Small,AJP,Yes,435,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-Black--  S,Adult Jogger Pants,,Black,Small,AJP,Yes,905,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-Black-- M,Adult Jogger Pants,,Black,Medium,AJP,Yes,1348,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-Black-L,Adult Jogger Pants,,Black,Large,AJP,Yes,1390,40,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-Black-XL,Adult Jogger Pants,,Black,XL,AJP,Yes,1011,23,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-Black-XXL,Adult Jogger Pants,,Black,XXL,AJP,Yes,485,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Black
AJP : AJP-S/P--  EXS,Adult Jogger Pants,,Salt and Pepper, Extra Small,AJP,Yes,406,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Salt and Pepper
AJP : AJP-S/P--  S,Adult Jogger Pants,,Salt and Pepper,Small,AJP,Yes,933,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Salt and Pepper
AJP : AJP-S/P-- M,Adult Jogger Pants,,Salt and Pepper,Medium,AJP,Yes,839,20,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Salt and Pepper
AJP : AJP-S/P-L,Adult Jogger Pants,,Salt and Pepper,Large,AJP,Yes,1126,35,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Jogger Sweatpants,AJP_Salt and Pepper
